sample	cell	drug	dose	time	tissue
EKVX_bortezomib_100nM_24h	EKVX	bortezomib	100nM	24h	Lung
HCC-2998_bortezomib_100nM_24h	HCC-2998	bortezomib	100nM	24h	Colon
HCT-116_bortezomib_100nM_24h	HCT-116	bortezomib	100nM	24h	Colon
HCT-15_bortezomib_100nM_24h	HCT-15	bortezomib	100nM	24h	Colon
HOP-62_bortezomib_100nM_24h	HOP-62	bortezomib	100nM	24h	Lung
HOP-92_bortezomib_100nM_24h	HOP-92	bortezomib	100nM	24h	Lung
HS-578T_bortezomib_100nM_24h	HS-578T	bortezomib	100nM	24h	Breast
HT29_bortezomib_100nM_24h	HT29	bortezomib	100nM	24h	Colon
IGR-OV1_bortezomib_100nM_24h	IGR-OV1	bortezomib	100nM	24h	Ovarian
K-562_bortezomib_100nM_24h	K-562	bortezomib	100nM	24h	Leukemia
KM12_bortezomib_100nM_24h	KM12	bortezomib	100nM	24h	Colon
LOX_bortezomib_100nM_24h	LOX	bortezomib	100nM	24h	Melanoma
M14_bortezomib_100nM_24h	M14	bortezomib	100nM	24h	Melanoma
MALME-3M_bortezomib_100nM_24h	MALME-3M	bortezomib	100nM	24h	Melanoma
MCF7_bortezomib_100nM_24h	MCF7	bortezomib	100nM	24h	Breast
MDA-MB-231_bortezomib_100nM_24h	MDA-MB-231	bortezomib	100nM	24h	Breast
MDA-MB-435_bortezomib_100nM_24h	MDA-MB-435	bortezomib	100nM	24h	Melanoma
MDA-MB-468_bortezomib_100nM_24h	MDA-MB-468	bortezomib	100nM	24h	Breast
NCI-ADR-RES_bortezomib_100nM_24h	NCI-ADR-RES	bortezomib	100nM	24h	Ovarian
NCI-H226_bortezomib_100nM_24h	NCI-H226	bortezomib	100nM	24h	Lung
NCI-H23_bortezomib_100nM_24h	NCI-H23	bortezomib	100nM	24h	Lung
NCI-H322M_bortezomib_100nM_24h	NCI-H322M	bortezomib	100nM	24h	Lung
NCI-H460_bortezomib_100nM_24h	NCI-H460	bortezomib	100nM	24h	Lung
NCI-H522_bortezomib_100nM_24h	NCI-H522	bortezomib	100nM	24h	Lung
OVCAR-3_bortezomib_100nM_24h	OVCAR-3	bortezomib	100nM	24h	Ovarian
OVCAR-4_bortezomib_100nM_24h	OVCAR-4	bortezomib	100nM	24h	Ovarian
OVCAR-5_bortezomib_100nM_24h	OVCAR-5	bortezomib	100nM	24h	Ovarian
OVCAR-8_bortezomib_100nM_24h	OVCAR-8	bortezomib	100nM	24h	Ovarian
PC-3_bortezomib_100nM_24h	PC-3	bortezomib	100nM	24h	Prostate
RXF-393_bortezomib_100nM_24h	RXF-393	bortezomib	100nM	24h	Renal
SF-268_bortezomib_100nM_24h	SF-268	bortezomib	100nM	24h	CNS
SF-295_bortezomib_100nM_24h	SF-295	bortezomib	100nM	24h	CNS
SF-539_bortezomib_100nM_24h	SF-539	bortezomib	100nM	24h	CNS
SK-MEL-2_bortezomib_100nM_24h	SK-MEL-2	bortezomib	100nM	24h	Melanoma
SK-MEL-28_bortezomib_100nM_24h	SK-MEL-28	bortezomib	100nM	24h	Melanoma
SK-MEL-5_bortezomib_100nM_24h	SK-MEL-5	bortezomib	100nM	24h	Melanoma
SK-OV-3_bortezomib_100nM_24h	SK-OV-3	bortezomib	100nM	24h	Ovarian
SN12C_bortezomib_100nM_24h	SN12C	bortezomib	100nM	24h	Renal
SNB-19_bortezomib_100nM_24h	SNB-19	bortezomib	100nM	24h	CNS
SNB-75_bortezomib_100nM_24h	SNB-75	bortezomib	100nM	24h	CNS
SW-620_bortezomib_100nM_24h	SW-620	bortezomib	100nM	24h	Colon
T-47D_bortezomib_100nM_24h	T-47D	bortezomib	100nM	24h	Breast
TK-10_bortezomib_100nM_24h	TK-10	bortezomib	100nM	24h	Renal
U251_bortezomib_100nM_24h	U251	bortezomib	100nM	24h	CNS
UACC-257_bortezomib_100nM_24h	UACC-257	bortezomib	100nM	24h	Melanoma
UACC-62_bortezomib_100nM_24h	UACC-62	bortezomib	100nM	24h	Melanoma
UO-31_bortezomib_100nM_24h	UO-31	bortezomib	100nM	24h	Renal
A498_cisplatin_15000nM_24h	A498	cisplatin	15000nM	24h	Renal
A549_cisplatin_15000nM_24h	A549	cisplatin	15000nM	24h	Lung
ACHN_cisplatin_15000nM_24h	ACHN	cisplatin	15000nM	24h	Renal
BT-549_cisplatin_15000nM_24h	BT-549	cisplatin	15000nM	24h	Breast
CAKI-1_cisplatin_15000nM_24h	CAKI-1	cisplatin	15000nM	24h	Renal
COLO-205_cisplatin_15000nM_24h	COLO-205	cisplatin	15000nM	24h	Colon
DU-145_cisplatin_15000nM_24h	DU-145	cisplatin	15000nM	24h	Prostate
EKVX_cisplatin_15000nM_24h	EKVX	cisplatin	15000nM	24h	Lung
HCC-2998_cisplatin_15000nM_24h	HCC-2998	cisplatin	15000nM	24h	Colon
HCT-116_cisplatin_15000nM_24h	HCT-116	cisplatin	15000nM	24h	Colon
HCT-15_cisplatin_15000nM_24h	HCT-15	cisplatin	15000nM	24h	Colon
HL-60_cisplatin_15000nM_24h	HL-60	cisplatin	15000nM	24h	Leukemia
HOP-62_cisplatin_15000nM_24h	HOP-62	cisplatin	15000nM	24h	Lung
HOP-92_cisplatin_15000nM_24h	HOP-92	cisplatin	15000nM	24h	Lung
HS-578T_cisplatin_15000nM_24h	HS-578T	cisplatin	15000nM	24h	Breast
HT29_cisplatin_15000nM_24h	HT29	cisplatin	15000nM	24h	Colon
IGR-OV1_cisplatin_15000nM_24h	IGR-OV1	cisplatin	15000nM	24h	Ovarian
K-562_cisplatin_15000nM_24h	K-562	cisplatin	15000nM	24h	Leukemia
KM12_cisplatin_15000nM_24h	KM12	cisplatin	15000nM	24h	Colon
LOX_cisplatin_15000nM_24h	LOX	cisplatin	15000nM	24h	Melanoma
M14_cisplatin_15000nM_24h	M14	cisplatin	15000nM	24h	Melanoma
MALME-3M_cisplatin_15000nM_24h	MALME-3M	cisplatin	15000nM	24h	Melanoma
MCF7_cisplatin_15000nM_24h	MCF7	cisplatin	15000nM	24h	Breast
MDA-MB-231_cisplatin_15000nM_24h	MDA-MB-231	cisplatin	15000nM	24h	Breast
MDA-MB-435_cisplatin_15000nM_24h	MDA-MB-435	cisplatin	15000nM	24h	Melanoma
MDA-MB-468_cisplatin_15000nM_24h	MDA-MB-468	cisplatin	15000nM	24h	Breast
MOLT-4_cisplatin_15000nM_24h	MOLT-4	cisplatin	15000nM	24h	Leukemia
NCI-ADR-RES_cisplatin_15000nM_24h	NCI-ADR-RES	cisplatin	15000nM	24h	Ovarian
NCI-H23_cisplatin_15000nM_24h	NCI-H23	cisplatin	15000nM	24h	Lung
NCI-H322M_cisplatin_15000nM_24h	NCI-H322M	cisplatin	15000nM	24h	Lung
NCI-H460_cisplatin_15000nM_24h	NCI-H460	cisplatin	15000nM	24h	Lung
NCI-H522_cisplatin_15000nM_24h	NCI-H522	cisplatin	15000nM	24h	Lung
OVCAR-3_cisplatin_15000nM_24h	OVCAR-3	cisplatin	15000nM	24h	Ovarian
OVCAR-4_cisplatin_15000nM_24h	OVCAR-4	cisplatin	15000nM	24h	Ovarian
OVCAR-5_cisplatin_15000nM_24h	OVCAR-5	cisplatin	15000nM	24h	Ovarian
OVCAR-8_cisplatin_15000nM_24h	OVCAR-8	cisplatin	15000nM	24h	Ovarian
PC-3_cisplatin_15000nM_24h	PC-3	cisplatin	15000nM	24h	Prostate
RPMI-8226_cisplatin_15000nM_24h	RPMI-8226	cisplatin	15000nM	24h	Leukemia
RXF-393_cisplatin_15000nM_24h	RXF-393	cisplatin	15000nM	24h	Renal
SF-295_cisplatin_15000nM_24h	SF-295	cisplatin	15000nM	24h	CNS
SF-539_cisplatin_15000nM_24h	SF-539	cisplatin	15000nM	24h	CNS
SK-MEL-2_cisplatin_15000nM_24h	SK-MEL-2	cisplatin	15000nM	24h	Melanoma
SK-MEL-28_cisplatin_15000nM_24h	SK-MEL-28	cisplatin	15000nM	24h	Melanoma
SK-MEL-5_cisplatin_15000nM_24h	SK-MEL-5	cisplatin	15000nM	24h	Melanoma
SK-OV-3_cisplatin_15000nM_24h	SK-OV-3	cisplatin	15000nM	24h	Ovarian
SN12C_cisplatin_15000nM_24h	SN12C	cisplatin	15000nM	24h	Renal
SNB-19_cisplatin_15000nM_24h	SNB-19	cisplatin	15000nM	24h	CNS
SNB-75_cisplatin_15000nM_24h	SNB-75	cisplatin	15000nM	24h	CNS
SR_cisplatin_15000nM_24h	SR	cisplatin	15000nM	24h	Leukemia
SW-620_cisplatin_15000nM_24h	SW-620	cisplatin	15000nM	24h	Colon
T-47D_cisplatin_15000nM_24h	T-47D	cisplatin	15000nM	24h	Breast
TK-10_cisplatin_15000nM_24h	TK-10	cisplatin	15000nM	24h	Renal
U251_cisplatin_15000nM_24h	U251	cisplatin	15000nM	24h	CNS
UACC-257_cisplatin_15000nM_24h	UACC-257	cisplatin	15000nM	24h	Melanoma
UO-31_cisplatin_15000nM_24h	UO-31	cisplatin	15000nM	24h	Renal
786-0_dasatinib_2000nM_24h	786-0	dasatinib	2000nM	24h	Renal
A498_dasatinib_2000nM_24h	A498	dasatinib	2000nM	24h	Renal
A549_dasatinib_2000nM_24h	A549	dasatinib	2000nM	24h	Lung
ACHN_dasatinib_2000nM_24h	ACHN	dasatinib	2000nM	24h	Renal
BT-549_dasatinib_2000nM_24h	BT-549	dasatinib	2000nM	24h	Breast
CAKI-1_dasatinib_2000nM_24h	CAKI-1	dasatinib	2000nM	24h	Renal
DU-145_dasatinib_2000nM_24h	DU-145	dasatinib	2000nM	24h	Prostate
EKVX_dasatinib_2000nM_24h	EKVX	dasatinib	2000nM	24h	Lung
HCC-2998_dasatinib_2000nM_24h	HCC-2998	dasatinib	2000nM	24h	Colon
HCT-116_dasatinib_2000nM_24h	HCT-116	dasatinib	2000nM	24h	Colon
HCT-15_dasatinib_2000nM_24h	HCT-15	dasatinib	2000nM	24h	Colon
HL-60_dasatinib_2000nM_24h	HL-60	dasatinib	2000nM	24h	Leukemia
HOP-62_dasatinib_2000nM_24h	HOP-62	dasatinib	2000nM	24h	Lung
HOP-92_dasatinib_2000nM_24h	HOP-92	dasatinib	2000nM	24h	Lung
HS-578T_dasatinib_2000nM_24h	HS-578T	dasatinib	2000nM	24h	Breast
HT29_dasatinib_2000nM_24h	HT29	dasatinib	2000nM	24h	Colon
IGR-OV1_dasatinib_2000nM_24h	IGR-OV1	dasatinib	2000nM	24h	Ovarian
KM12_dasatinib_2000nM_24h	KM12	dasatinib	2000nM	24h	Colon
LOX_dasatinib_2000nM_24h	LOX	dasatinib	2000nM	24h	Melanoma
M14_dasatinib_2000nM_24h	M14	dasatinib	2000nM	24h	Melanoma
MALME-3M_dasatinib_2000nM_24h	MALME-3M	dasatinib	2000nM	24h	Melanoma
MCF7_dasatinib_2000nM_24h	MCF7	dasatinib	2000nM	24h	Breast
MDA-MB-231_dasatinib_2000nM_24h	MDA-MB-231	dasatinib	2000nM	24h	Breast
MOLT-4_dasatinib_2000nM_24h	MOLT-4	dasatinib	2000nM	24h	Leukemia
NCI-ADR-RES_dasatinib_2000nM_24h	NCI-ADR-RES	dasatinib	2000nM	24h	Ovarian
NCI-H226_dasatinib_2000nM_24h	NCI-H226	dasatinib	2000nM	24h	Lung
NCI-H23_dasatinib_2000nM_24h	NCI-H23	dasatinib	2000nM	24h	Lung
NCI-H460_dasatinib_2000nM_24h	NCI-H460	dasatinib	2000nM	24h	Lung
NCI-H522_dasatinib_2000nM_24h	NCI-H522	dasatinib	2000nM	24h	Lung
OVCAR-3_dasatinib_2000nM_24h	OVCAR-3	dasatinib	2000nM	24h	Ovarian
OVCAR-4_dasatinib_2000nM_24h	OVCAR-4	dasatinib	2000nM	24h	Ovarian
OVCAR-5_dasatinib_2000nM_24h	OVCAR-5	dasatinib	2000nM	24h	Ovarian
OVCAR-8_dasatinib_2000nM_24h	OVCAR-8	dasatinib	2000nM	24h	Ovarian
PC-3_dasatinib_2000nM_24h	PC-3	dasatinib	2000nM	24h	Prostate
RPMI-8226_dasatinib_2000nM_24h	RPMI-8226	dasatinib	2000nM	24h	Leukemia
RXF-393_dasatinib_2000nM_24h	RXF-393	dasatinib	2000nM	24h	Renal
SF-268_dasatinib_2000nM_24h	SF-268	dasatinib	2000nM	24h	CNS
SF-295_dasatinib_2000nM_24h	SF-295	dasatinib	2000nM	24h	CNS
SK-MEL-2_dasatinib_2000nM_24h	SK-MEL-2	dasatinib	2000nM	24h	Melanoma
SK-MEL-28_dasatinib_2000nM_24h	SK-MEL-28	dasatinib	2000nM	24h	Melanoma
SK-MEL-5_dasatinib_2000nM_24h	SK-MEL-5	dasatinib	2000nM	24h	Melanoma
SK-OV-3_dasatinib_2000nM_24h	SK-OV-3	dasatinib	2000nM	24h	Ovarian
SR_dasatinib_2000nM_24h	SR	dasatinib	2000nM	24h	Leukemia
SW-620_dasatinib_2000nM_24h	SW-620	dasatinib	2000nM	24h	Colon
T-47D_dasatinib_2000nM_24h	T-47D	dasatinib	2000nM	24h	Breast
U251_dasatinib_2000nM_24h	U251	dasatinib	2000nM	24h	CNS
UACC-257_dasatinib_2000nM_24h	UACC-257	dasatinib	2000nM	24h	Melanoma
UACC-62_dasatinib_2000nM_24h	UACC-62	dasatinib	2000nM	24h	Melanoma
UO-31_dasatinib_2000nM_24h	UO-31	dasatinib	2000nM	24h	Renal
786-0_doxorubicin_1000nM_24h	786-0	doxorubicin	1000nM	24h	Renal
A498_doxorubicin_1000nM_24h	A498	doxorubicin	1000nM	24h	Renal
A549_doxorubicin_1000nM_24h	A549	doxorubicin	1000nM	24h	Lung
ACHN_doxorubicin_1000nM_24h	ACHN	doxorubicin	1000nM	24h	Renal
BT-549_doxorubicin_1000nM_24h	BT-549	doxorubicin	1000nM	24h	Breast
CAKI-1_doxorubicin_1000nM_24h	CAKI-1	doxorubicin	1000nM	24h	Renal
CCRF-CEM_doxorubicin_1000nM_24h	CCRF-CEM	doxorubicin	1000nM	24h	Leukemia
COLO-205_doxorubicin_1000nM_24h	COLO-205	doxorubicin	1000nM	24h	Colon
DU-145_doxorubicin_1000nM_24h	DU-145	doxorubicin	1000nM	24h	Prostate
EKVX_doxorubicin_1000nM_24h	EKVX	doxorubicin	1000nM	24h	Lung
HCT-116_doxorubicin_1000nM_24h	HCT-116	doxorubicin	1000nM	24h	Colon
HCT-15_doxorubicin_1000nM_24h	HCT-15	doxorubicin	1000nM	24h	Colon
HL-60_doxorubicin_1000nM_24h	HL-60	doxorubicin	1000nM	24h	Leukemia
HOP-62_doxorubicin_1000nM_24h	HOP-62	doxorubicin	1000nM	24h	Lung
HOP-92_doxorubicin_1000nM_24h	HOP-92	doxorubicin	1000nM	24h	Lung
HS-578T_doxorubicin_1000nM_24h	HS-578T	doxorubicin	1000nM	24h	Breast
HT29_doxorubicin_1000nM_24h	HT29	doxorubicin	1000nM	24h	Colon
IGR-OV1_doxorubicin_1000nM_24h	IGR-OV1	doxorubicin	1000nM	24h	Ovarian
K-562_doxorubicin_1000nM_24h	K-562	doxorubicin	1000nM	24h	Leukemia
KM12_doxorubicin_1000nM_24h	KM12	doxorubicin	1000nM	24h	Colon
LOX_doxorubicin_1000nM_24h	LOX	doxorubicin	1000nM	24h	Melanoma
M14_doxorubicin_1000nM_24h	M14	doxorubicin	1000nM	24h	Melanoma
MDA-MB-231_doxorubicin_1000nM_24h	MDA-MB-231	doxorubicin	1000nM	24h	Breast
MDA-MB-435_doxorubicin_1000nM_24h	MDA-MB-435	doxorubicin	1000nM	24h	Melanoma
NCI-ADR-RES_doxorubicin_1000nM_24h	NCI-ADR-RES	doxorubicin	1000nM	24h	Ovarian
NCI-H226_doxorubicin_1000nM_24h	NCI-H226	doxorubicin	1000nM	24h	Lung
NCI-H23_doxorubicin_1000nM_24h	NCI-H23	doxorubicin	1000nM	24h	Lung
NCI-H322M_doxorubicin_1000nM_24h	NCI-H322M	doxorubicin	1000nM	24h	Lung
NCI-H460_doxorubicin_1000nM_24h	NCI-H460	doxorubicin	1000nM	24h	Lung
OVCAR-3_doxorubicin_1000nM_24h	OVCAR-3	doxorubicin	1000nM	24h	Ovarian
OVCAR-4_doxorubicin_1000nM_24h	OVCAR-4	doxorubicin	1000nM	24h	Ovarian
OVCAR-5_doxorubicin_1000nM_24h	OVCAR-5	doxorubicin	1000nM	24h	Ovarian
PC-3_doxorubicin_1000nM_24h	PC-3	doxorubicin	1000nM	24h	Prostate
RXF-393_doxorubicin_1000nM_24h	RXF-393	doxorubicin	1000nM	24h	Renal
SF-268_doxorubicin_1000nM_24h	SF-268	doxorubicin	1000nM	24h	CNS
SF-295_doxorubicin_1000nM_24h	SF-295	doxorubicin	1000nM	24h	CNS
SF-539_doxorubicin_1000nM_24h	SF-539	doxorubicin	1000nM	24h	CNS
SK-MEL-2_doxorubicin_1000nM_24h	SK-MEL-2	doxorubicin	1000nM	24h	Melanoma
SK-MEL-5_doxorubicin_1000nM_24h	SK-MEL-5	doxorubicin	1000nM	24h	Melanoma
SK-OV-3_doxorubicin_1000nM_24h	SK-OV-3	doxorubicin	1000nM	24h	Ovarian
SN12C_doxorubicin_1000nM_24h	SN12C	doxorubicin	1000nM	24h	Renal
SNB-19_doxorubicin_1000nM_24h	SNB-19	doxorubicin	1000nM	24h	CNS
SNB-75_doxorubicin_1000nM_24h	SNB-75	doxorubicin	1000nM	24h	CNS
SW-620_doxorubicin_1000nM_24h	SW-620	doxorubicin	1000nM	24h	Colon
T-47D_doxorubicin_1000nM_24h	T-47D	doxorubicin	1000nM	24h	Breast
TK-10_doxorubicin_1000nM_24h	TK-10	doxorubicin	1000nM	24h	Renal
U251_doxorubicin_1000nM_24h	U251	doxorubicin	1000nM	24h	CNS
UACC-257_doxorubicin_1000nM_24h	UACC-257	doxorubicin	1000nM	24h	Melanoma
UACC-62_doxorubicin_1000nM_24h	UACC-62	doxorubicin	1000nM	24h	Melanoma
UO-31_doxorubicin_1000nM_24h	UO-31	doxorubicin	1000nM	24h	Renal
786-0_erlotinib_10000nM_24h	786-0	erlotinib	10000nM	24h	Renal
A498_erlotinib_10000nM_24h	A498	erlotinib	10000nM	24h	Renal
A549_erlotinib_10000nM_24h	A549	erlotinib	10000nM	24h	Lung
ACHN_erlotinib_10000nM_24h	ACHN	erlotinib	10000nM	24h	Renal
BT-549_erlotinib_10000nM_24h	BT-549	erlotinib	10000nM	24h	Breast
CAKI-1_erlotinib_10000nM_24h	CAKI-1	erlotinib	10000nM	24h	Renal
CCRF-CEM_erlotinib_10000nM_24h	CCRF-CEM	erlotinib	10000nM	24h	Leukemia
DU-145_erlotinib_10000nM_24h	DU-145	erlotinib	10000nM	24h	Prostate
EKVX_erlotinib_10000nM_24h	EKVX	erlotinib	10000nM	24h	Lung
HCC-2998_erlotinib_10000nM_24h	HCC-2998	erlotinib	10000nM	24h	Colon
HCT-116_erlotinib_10000nM_24h	HCT-116	erlotinib	10000nM	24h	Colon
HCT-15_erlotinib_10000nM_24h	HCT-15	erlotinib	10000nM	24h	Colon
HL-60_erlotinib_10000nM_24h	HL-60	erlotinib	10000nM	24h	Leukemia
HOP-62_erlotinib_10000nM_24h	HOP-62	erlotinib	10000nM	24h	Lung
HOP-92_erlotinib_10000nM_24h	HOP-92	erlotinib	10000nM	24h	Lung
HS-578T_erlotinib_10000nM_24h	HS-578T	erlotinib	10000nM	24h	Breast
HT29_erlotinib_10000nM_24h	HT29	erlotinib	10000nM	24h	Colon
IGR-OV1_erlotinib_10000nM_24h	IGR-OV1	erlotinib	10000nM	24h	Ovarian
K-562_erlotinib_10000nM_24h	K-562	erlotinib	10000nM	24h	Leukemia
KM12_erlotinib_10000nM_24h	KM12	erlotinib	10000nM	24h	Colon
LOX_erlotinib_10000nM_24h	LOX	erlotinib	10000nM	24h	Melanoma
M14_erlotinib_10000nM_24h	M14	erlotinib	10000nM	24h	Melanoma
MALME-3M_erlotinib_10000nM_24h	MALME-3M	erlotinib	10000nM	24h	Melanoma
MCF7_erlotinib_10000nM_24h	MCF7	erlotinib	10000nM	24h	Breast
MDA-MB-231_erlotinib_10000nM_24h	MDA-MB-231	erlotinib	10000nM	24h	Breast
MDA-MB-435_erlotinib_10000nM_24h	MDA-MB-435	erlotinib	10000nM	24h	Melanoma
MDA-MB-468_erlotinib_10000nM_24h	MDA-MB-468	erlotinib	10000nM	24h	Breast
MOLT-4_erlotinib_10000nM_24h	MOLT-4	erlotinib	10000nM	24h	Leukemia
NCI-ADR-RES_erlotinib_10000nM_24h	NCI-ADR-RES	erlotinib	10000nM	24h	Ovarian
NCI-H226_erlotinib_10000nM_24h	NCI-H226	erlotinib	10000nM	24h	Lung
NCI-H23_erlotinib_10000nM_24h	NCI-H23	erlotinib	10000nM	24h	Lung
NCI-H322M_erlotinib_10000nM_24h	NCI-H322M	erlotinib	10000nM	24h	Lung
NCI-H460_erlotinib_10000nM_24h	NCI-H460	erlotinib	10000nM	24h	Lung
NCI-H522_erlotinib_10000nM_24h	NCI-H522	erlotinib	10000nM	24h	Lung
OVCAR-3_erlotinib_10000nM_24h	OVCAR-3	erlotinib	10000nM	24h	Ovarian
OVCAR-4_erlotinib_10000nM_24h	OVCAR-4	erlotinib	10000nM	24h	Ovarian
OVCAR-5_erlotinib_10000nM_24h	OVCAR-5	erlotinib	10000nM	24h	Ovarian
OVCAR-8_erlotinib_10000nM_24h	OVCAR-8	erlotinib	10000nM	24h	Ovarian
PC-3_erlotinib_10000nM_24h	PC-3	erlotinib	10000nM	24h	Prostate
RPMI-8226_erlotinib_10000nM_24h	RPMI-8226	erlotinib	10000nM	24h	Leukemia
RXF-393_erlotinib_10000nM_24h	RXF-393	erlotinib	10000nM	24h	Renal
SF-268_erlotinib_10000nM_24h	SF-268	erlotinib	10000nM	24h	CNS
SF-295_erlotinib_10000nM_24h	SF-295	erlotinib	10000nM	24h	CNS
SF-539_erlotinib_10000nM_24h	SF-539	erlotinib	10000nM	24h	CNS
SK-MEL-2_erlotinib_10000nM_24h	SK-MEL-2	erlotinib	10000nM	24h	Melanoma
SK-MEL-28_erlotinib_10000nM_24h	SK-MEL-28	erlotinib	10000nM	24h	Melanoma
SK-MEL-5_erlotinib_10000nM_24h	SK-MEL-5	erlotinib	10000nM	24h	Melanoma
SK-OV-3_erlotinib_10000nM_24h	SK-OV-3	erlotinib	10000nM	24h	Ovarian
SN12C_erlotinib_10000nM_24h	SN12C	erlotinib	10000nM	24h	Renal
SNB-19_erlotinib_10000nM_24h	SNB-19	erlotinib	10000nM	24h	CNS
SNB-75_erlotinib_10000nM_24h	SNB-75	erlotinib	10000nM	24h	CNS
SR_erlotinib_10000nM_24h	SR	erlotinib	10000nM	24h	Leukemia
SW-620_erlotinib_10000nM_24h	SW-620	erlotinib	10000nM	24h	Colon
T-47D_erlotinib_10000nM_24h	T-47D	erlotinib	10000nM	24h	Breast
TK-10_erlotinib_10000nM_24h	TK-10	erlotinib	10000nM	24h	Renal
U251_erlotinib_10000nM_24h	U251	erlotinib	10000nM	24h	CNS
UACC-257_erlotinib_10000nM_24h	UACC-257	erlotinib	10000nM	24h	Melanoma
